Synthase,Length (aa),Architecture,Classification
THD00110.1,2462,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
THD00070.1,76,KS,PKS
THC99245.1,3986,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC98862.1,2376,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
THC98141.1,368,KS,PKS
THC97917.1,2538,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC97710.1,421,KS,Thiolase
THC97584.1,2210,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
THC96964.1,2070,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
THC96716.1,2014,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
THC96592.1,437,KS-AT,PKS|Type I
THC96582.1,461,KS,Thiolase
THC96387.1,3855,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC96256.1,494,KS,PKS
THC96148.1,417,KS,Thiolase
THC96042.1,2290,SAT-KS-AT-PT-ACP-ACP-MT,PKS|Type I|Non-reducing
THC95210.1,3937,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC95092.1,411,KS,PKS|Type III
THC95054.1,2270,SAT-KS-AT-PT-ACP-ACP-TR,PKS|Type I|Non-reducing
THC95046.1,546,KS-AT,PKS|Type I
THC95043.1,412,KS,PKS
THC94912.1,2575,SAT-KS-AT-PT-ACP-MT-TR,PKS|Type I|Non-reducing
THC94858.1,2432,SAT-KS-AT-PT-ACP-MT-TE,PKS|Type I|Non-reducing
THC94726.1,2473,KS-AT-DH-MT-KR-ACP,PKS|Type I|Partially-reducing
THC94689.1,276,KS,PKS
THC94558.1,436,KS,Thiolase
THC94290.1,294,KS,PKS|Type III
THC94268.1,2334,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC94248.1,1936,SAT-KS-AT-PT-ACP-ACP-TE,PKS|Type I|Non-reducing
THC94239.1,1777,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
THC94144.1,2448,KS-AT-PT-ACP-ACP-MT-TR,PKS|Type I|Non-reducing
THC94049.1,3945,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC94003.1,2373,KS-AT-DH-ER-KR-ACP,PKS|Type I|Highly-reducing
THC93486.1,3987,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC93448.1,1783,SAT-KS-AT-PT-ACP,PKS|Type I|Non-reducing
THC93381.1,1965,KS-AT-PT-ACP-ACP-MT,PKS|Type I|Non-reducing
THC93367.1,395,KS,PKS
THC93333.1,361,KS,PKS
THC93129.1,293,KS,Thiolase
THC93106.1,836,KS-AT,PKS|Type I
THC92760.1,3906,KS-AT-DH-ER-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
THC92577.1,2219,KS-AT-DH-MT-ER-KR-ACP,PKS|Type I|Highly-reducing
THC92484.1,417,KS,Thiolase
THC92302.1,3886,KS-AT-DH-MT-KR-ACP-C-A-T-R,Hybrid PKS-NRPS
